TitleID	ItemID	PageID	Title	Authors	Associations	Variants	Keywords	Collections	PublicationPlace	PublisherName	PublicationDate	StartYear	EndYear	Year	EditionStatement	LanguageName	InstitutionName	BibliographicLevelName	Volume	PageTypes	PagePrefix	PageNumber
44963	100598	32277275	Proceedings of the Zoological Society of London.  	Zoological Society of London.	Preceded by: Proceedings of the Committee of Science and Correspondence of the Zoological Society of London|Succeeded by: Journal of zoology|Succeeded by: Journal of zoology|Succeeded by: Zoolgical Society of London. Agenda and abstracts of the scientific meetings                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        	Proc. Zool. Soc. Lond.|Proceedings of the general meetings for scientific business of the Zoological Society of London|Proceedings of the Zoological Society of London	Periodicals|Zoology		London :	Academic Press, [etc.],	1833-1965.	1833	1965			English	Smithsonian Libraries	Serial	1922:pt.1-2 [pp.1-481]	Text	Page	19
44963	100598	32277276	Proceedings of the Zoological Society of London.  	Zoological Society of London.	Preceded by: Proceedings of the Committee of Science and Correspondence of the Zoological Society of London|Succeeded by: Journal of zoology|Succeeded by: Journal of zoology|Succeeded by: Zoolgical Society of London. Agenda and abstracts of the scientific meetings                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        	Proc. Zool. Soc. Lond.|Proceedings of the general meetings for scientific business of the Zoological Society of London|Proceedings of the Zoological Society of London	Periodicals|Zoology		London :	Academic Press, [etc.],	1833-1965.	1833	1965			English	Smithsonian Libraries	Serial	1922:pt.1-2 [pp.1-481]	Text	Page	20
44963	100598	32277277	Proceedings of the Zoological Society of London.  	Zoological Society of London.	Preceded by: Proceedings of the Committee of Science and Correspondence of the Zoological Society of London|Succeeded by: Journal of zoology|Succeeded by: Journal of zoology|Succeeded by: Zoolgical Society of London. Agenda and abstracts of the scientific meetings                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        	Proc. Zool. Soc. Lond.|Proceedings of the general meetings for scientific business of the Zoological Society of London|Proceedings of the Zoological Society of London	Periodicals|Zoology		London :	Academic Press, [etc.],	1833-1965.	1833	1965			English	Smithsonian Libraries	Serial	1922:pt.1-2 [pp.1-481]	Text	Page	21
44963	100598	32277278	Proceedings of the Zoological Society of London.  	Zoological Society of London.	Preceded by: Proceedings of the Committee of Science and Correspondence of the Zoological Society of London|Succeeded by: Journal of zoology|Succeeded by: Journal of zoology|Succeeded by: Zoolgical Society of London. Agenda and abstracts of the scientific meetings                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        	Proc. Zool. Soc. Lond.|Proceedings of the general meetings for scientific business of the Zoological Society of London|Proceedings of the Zoological Society of London	Periodicals|Zoology		London :	Academic Press, [etc.],	1833-1965.	1833	1965			English	Smithsonian Libraries	Serial	1922:pt.1-2 [pp.1-481]	Text	Page	22
44963	100598	32277279	Proceedings of the Zoological Society of London.  	Zoological Society of London.	Preceded by: Proceedings of the Committee of Science and Correspondence of the Zoological Society of London|Succeeded by: Journal of zoology|Succeeded by: Journal of zoology|Succeeded by: Zoolgical Society of London. Agenda and abstracts of the scientific meetings                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        	Proc. Zool. Soc. Lond.|Proceedings of the general meetings for scientific business of the Zoological Society of London|Proceedings of the Zoological Society of London	Periodicals|Zoology		London :	Academic Press, [etc.],	1833-1965.	1833	1965			English	Smithsonian Libraries	Serial	1922:pt.1-2 [pp.1-481]	Text|Illustration	Page	23
44963	100598	32277280	Proceedings of the Zoological Society of London.  	Zoological Society of London.	Preceded by: Proceedings of the Committee of Science and Correspondence of the Zoological Society of London|Succeeded by: Journal of zoology|Succeeded by: Journal of zoology|Succeeded by: Zoolgical Society of London. Agenda and abstracts of the scientific meetings                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        	Proc. Zool. Soc. Lond.|Proceedings of the general meetings for scientific business of the Zoological Society of London|Proceedings of the Zoological Society of London	Periodicals|Zoology		London :	Academic Press, [etc.],	1833-1965.	1833	1965			English	Smithsonian Libraries	Serial	1922:pt.1-2 [pp.1-481]	Text	Page	24
44963	100598	32277281	Proceedings of the Zoological Society of London.  	Zoological Society of London.	Preceded by: Proceedings of the Committee of Science and Correspondence of the Zoological Society of London|Succeeded by: Journal of zoology|Succeeded by: Journal of zoology|Succeeded by: Zoolgical Society of London. Agenda and abstracts of the scientific meetings                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        	Proc. Zool. Soc. Lond.|Proceedings of the general meetings for scientific business of the Zoological Society of London|Proceedings of the Zoological Society of London	Periodicals|Zoology		London :	Academic Press, [etc.],	1833-1965.	1833	1965			English	Smithsonian Libraries	Serial	1922:pt.1-2 [pp.1-481]	Text	Page	25
44963	100598	32277282	Proceedings of the Zoological Society of London.  	Zoological Society of London.	Preceded by: Proceedings of the Committee of Science and Correspondence of the Zoological Society of London|Succeeded by: Journal of zoology|Succeeded by: Journal of zoology|Succeeded by: Zoolgical Society of London. Agenda and abstracts of the scientific meetings                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        	Proc. Zool. Soc. Lond.|Proceedings of the general meetings for scientific business of the Zoological Society of London|Proceedings of the Zoological Society of London	Periodicals|Zoology		London :	Academic Press, [etc.],	1833-1965.	1833	1965			English	Smithsonian Libraries	Serial	1922:pt.1-2 [pp.1-481]	Text	Page	26
44963	100598	32277283	Proceedings of the Zoological Society of London.  	Zoological Society of London.	Preceded by: Proceedings of the Committee of Science and Correspondence of the Zoological Society of London|Succeeded by: Journal of zoology|Succeeded by: Journal of zoology|Succeeded by: Zoolgical Society of London. Agenda and abstracts of the scientific meetings                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        	Proc. Zool. Soc. Lond.|Proceedings of the general meetings for scientific business of the Zoological Society of London|Proceedings of the Zoological Society of London	Periodicals|Zoology		London :	Academic Press, [etc.],	1833-1965.	1833	1965			English	Smithsonian Libraries	Serial	1922:pt.1-2 [pp.1-481]	Text	Page	27
44963	100598	32277284	Proceedings of the Zoological Society of London.  	Zoological Society of London.	Preceded by: Proceedings of the Committee of Science and Correspondence of the Zoological Society of London|Succeeded by: Journal of zoology|Succeeded by: Journal of zoology|Succeeded by: Zoolgical Society of London. Agenda and abstracts of the scientific meetings                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        	Proc. Zool. Soc. Lond.|Proceedings of the general meetings for scientific business of the Zoological Society of London|Proceedings of the Zoological Society of London	Periodicals|Zoology		London :	Academic Press, [etc.],	1833-1965.	1833	1965			English	Smithsonian Libraries	Serial	1922:pt.1-2 [pp.1-481]	Text	Page	28
